,name,dob,nat,score,events,environment,race,date,performance,place
883,Uriah AILI,,USA,963,1500m [Mile ind.],Indoor,One Mile,30 JAN 2022,4:13.98,"Myers Fieldhouse, Mankato, MN (USA)"
884,Uriah AILI,,USA,963,1500m [Mile ind.],Indoor,3000 Metres,20 FEB 2021,8:42.14,"Frank Petretti Fieldhouse, Kenosha, WI (USA)"
885,Ethan MILLS,07 JUN 2001,USA,962,1500m,Outdoor,800 Metres,05 MAY 2018,1:54.94,"Charlottesville, VA (USA)"
886,Ethan MILLS,07 JUN 2001,USA,962,1500m,Outdoor,800 Metres,04 MAY 2019,1:58.56,"Charlottesville, VA (USA)"
887,Ethan MILLS,07 JUN 2001,USA,962,1500m,Outdoor,800 Metres,17 APR 2021,1:52.82,"UVA Lanningan Field, Charlottesville, VA (USA)"
888,Ethan MILLS,07 JUN 2001,USA,962,1500m,Outdoor,800 Metres,04 MAY 2022,1:54.49,"Matthes-Hopkins Track Complex, Lynchburg, VA (USA)"
889,Ethan MILLS,07 JUN 2001,USA,962,1500m,Outdoor,1500 Metres,13 MAY 2021,3:44.92,"Paul Derr TF Facility, Raleigh, NC (USA)"
890,Ethan MILLS,07 JUN 2001,USA,962,1500m,Outdoor,1500 Metres,01 MAY 2022,3:43.02,"UVA Lanningan Field, Charlottesville, VA (USA)"
891,Ethan MILLS,07 JUN 2001,USA,962,1500m,Outdoor,One Mile,16 JUN 2019,4:21.90,"Greensboro, NC (USA)"
892,Ethan MILLS,07 JUN 2001,USA,962,1500m,Outdoor,One Mile,01 MAY 2021,4:03.87,"UVA Lanningan Field, Charlottesville, VA (USA)"
893,Ethan MILLS,07 JUN 2001,USA,962,1500m,Outdoor,5000 Metres,24 MAR 2022,14:45.22,"Paul Derr TF Facility, Raleigh, NC (USA)"
894,Ethan MILLS,07 JUN 2001,USA,962,1500m,Outdoor,4x800 Metres Relay,15 JUN 2019,7:46.22,"Greensboro, NC (USA)"
895,Ethan MILLS,07 JUN 2001,USA,962,1500m,Outdoor,Distance Medley Relay,03 MAY 2019,10:13.70,"Charlottesville, VA (USA)"
896,Ethan MILLS,07 JUN 2001,USA,962,1500m,Indoor,500 Metres,17 DEC 2016,1:09.58,"Blacksburg, VA (USA)"
897,Ethan MILLS,07 JUN 2001,USA,962,1500m,Indoor,500 Metres,16 DEC 2017,1:07.58,"Lynchburg, VA (USA)"
898,Ethan MILLS,07 JUN 2001,USA,962,1500m,Indoor,600 Metres,22 JAN 2021,1:21.11,"Rector Fieldhouse, Blacksburg, VA (USA)"
899,Ethan MILLS,07 JUN 2001,USA,962,1500m,Indoor,800 Metres,10 MAR 2019,1:56.75,"New York, NY (USA)"
900,Ethan MILLS,07 JUN 2001,USA,962,1500m,Indoor,800 Metres,05 FEB 2021,1:51.03,"Rector Fieldhouse, Blacksburg, VA (USA)"
901,Ethan MILLS,07 JUN 2001,USA,962,1500m,Indoor,800 Metres,04 FEB 2022,1:52.54,"Rector Fieldhouse, Blacksburg, VA (USA)"
902,Ethan MILLS,07 JUN 2001,USA,962,1500m,Indoor,1000 Metres,21 DEC 2017,2:30.90,"Lynchburg, VA (USA)"
903,Ethan MILLS,07 JUN 2001,USA,962,1500m,Indoor,1000 Metres,08 DEC 2018,2:29.32,"Lynchburg, VA (USA)"
904,Ethan MILLS,07 JUN 2001,USA,962,1500m,Indoor,1000 Metres,19 FEB 2021,2:23.59,"Rector Fieldhouse, Blacksburg, VA (USA)"
905,Ethan MILLS,07 JUN 2001,USA,962,1500m,Indoor,One Mile,09 MAR 2019,4:15.66,"New York, NY (USA)"
906,Ethan MILLS,07 JUN 2001,USA,962,1500m,Indoor,One Mile,17 JAN 2020,4:14.72,"Rector Fieldhouse, Blacksburg, VA (USA)"
907,Ethan MILLS,07 JUN 2001,USA,962,1500m,Indoor,One Mile,27 FEB 2021,4:03.27,"Clemson Indoor Track & Field Complex, Clemson, SC (USA)"
908,Ethan MILLS,07 JUN 2001,USA,962,1500m,Indoor,Distance Medley Relay,12 MAR 2021,9:27.67,"Randal Tyson Indoor Center, Fayetteville, AR (USA)"
909,Ricardo BARBOSA,09 DEC 1995,POR,962,"1500m [Mile,Mile ind.]",Outdoor,1500 Metres,03 JUN 2017,3:53.40,Marseille (FRA)
910,Ricardo BARBOSA,09 DEC 1995,POR,962,"1500m [Mile,Mile ind.]",Outdoor,1500 Metres,10 JUN 2018,3:54.84,Nice (FRA)
911,Ricardo BARBOSA,09 DEC 1995,POR,962,"1500m [Mile,Mile ind.]",Outdoor,1500 Metres,02 JUL 2019,3:52.25,Marseille (FRA)
912,Ricardo BARBOSA,09 DEC 1995,POR,962,"1500m [Mile,Mile ind.]",Outdoor,1500 Metres,05 SEP 2020,3:57.59,"Stade L. Lagrange, Toulon (FRA)"
913,Ricardo BARBOSA,09 DEC 1995,POR,962,"1500m [Mile,Mile ind.]",Outdoor,1500 Metres,01 JUN 2022,3:45.20,"Stade Adolphe Cheron, St-Maur (FRA)"
914,Ricardo BARBOSA,09 DEC 1995,POR,962,"1500m [Mile,Mile ind.]",Outdoor,One Mile,05 FEB 2022,4:08.67,"Hughes Fieldhouse, Maryville, MO (USA)"
915,Ricardo BARBOSA,09 DEC 1995,POR,962,"1500m [Mile,Mile ind.]",Outdoor,3000 Metres,26 APR 2014,8:48.37,Lisboa (POR)
916,Ricardo BARBOSA,09 DEC 1995,POR,962,"1500m [Mile,Mile ind.]",Outdoor,3000 Metres,01 JUN 2019,8:15.46,Maia (POR)
917,Ricardo BARBOSA,09 DEC 1995,POR,962,"1500m [Mile,Mile ind.]",Outdoor,3000 Metres,16 JUL 2020,8:26.5h,"Parc des Sports C. Ehrmann, Nice (FRA)"
918,Ricardo BARBOSA,09 DEC 1995,POR,962,"1500m [Mile,Mile ind.]",Outdoor,5000 Metres,26 FEB 2021,14:48.99,"Stade L. Lagrange, Toulon (FRA)"
919,Ricardo BARBOSA,09 DEC 1995,POR,962,"1500m [Mile,Mile ind.]",Outdoor,5000 Metres,24 APR 2022,14:45.34,"Emporia St. Francis G. Welch Stadium, Emporia, KS (USA)"
920,Ricardo BARBOSA,09 DEC 1995,POR,962,"1500m [Mile,Mile ind.]",Outdoor,10 Kilometres,04 OCT 2020,30:58,La Seyne-sur-Mer (FRA)
921,Ricardo BARBOSA,09 DEC 1995,POR,962,"1500m [Mile,Mile ind.]",Outdoor,3000 Metres Steeplechase,06 JUL 2014,9:32.75,Luso (POR)
922,Ricardo BARBOSA,09 DEC 1995,POR,962,"1500m [Mile,Mile ind.]",Outdoor,3000 Metres Steeplechase,26 JUL 2015,9:22.41,Leiria (POR)
923,Ricardo BARBOSA,09 DEC 1995,POR,962,"1500m [Mile,Mile ind.]",Outdoor,3000 Metres Steeplechase,28 MAY 2016,9:17.42,La Garde (FRA)
924,Ricardo BARBOSA,09 DEC 1995,POR,962,"1500m [Mile,Mile ind.]",Outdoor,3000 Metres Steeplechase,14 JUL 2017,9:07.10,Bydgoszcz (POL)
925,Ricardo BARBOSA,09 DEC 1995,POR,962,"1500m [Mile,Mile ind.]",Outdoor,3000 Metres Steeplechase,04 JUL 2018,9:04.74,Maia (POR)
926,Ricardo BARBOSA,09 DEC 1995,POR,962,"1500m [Mile,Mile ind.]",Outdoor,3000 Metres Steeplechase,16 JUN 2019,9:02.66,Guimarães (POR)
927,Ricardo BARBOSA,09 DEC 1995,POR,962,"1500m [Mile,Mile ind.]",Outdoor,3000 Metres Steeplechase,19 SEP 2020,8:57.64,"Stade des Maradas, Cergy-Pontoise (FRA)"
928,Ricardo BARBOSA,09 DEC 1995,POR,962,"1500m [Mile,Mile ind.]",Outdoor,3000 Metres Steeplechase,19 JUN 2021,8:56.45,"Stade Raymond Troussier, Decines (FRA)"
929,Ricardo BARBOSA,09 DEC 1995,POR,962,"1500m [Mile,Mile ind.]",Outdoor,3000 Metres Steeplechase,11 JUN 2022,8:46.58,"Stade Raymond Troussier, Decines (FRA)"
930,Ricardo BARBOSA,09 DEC 1995,POR,962,"1500m [Mile,Mile ind.]",Indoor,800 Metres,29 JAN 2022,1:56.10,"Washburn Indoor Athletic Facility, Topeka, KS (USA)"
931,Ricardo BARBOSA,09 DEC 1995,POR,962,"1500m [Mile,Mile ind.]",Indoor,1500 Metres,29 JAN 2017,3:58.41,Montpellier (FRA)
932,Ricardo BARBOSA,09 DEC 1995,POR,962,"1500m [Mile,Mile ind.]",Indoor,One Mile,29 JAN 2022,4:15.78,"Washburn Indoor Athletic Facility, Topeka, KS (USA)"
933,Ricardo BARBOSA,09 DEC 1995,POR,962,"1500m [Mile,Mile ind.]",Indoor,3000 Metres,31 JAN 2016,8:43.25,Lyon (FRA)
934,Ricardo BARBOSA,09 DEC 1995,POR,962,"1500m [Mile,Mile ind.]",Indoor,3000 Metres,22 JAN 2022,8:12.61,"Washburn Indoor Athletic Facility, Topeka, KS (USA)"
935,Ricardo BARBOSA,09 DEC 1995,POR,962,"1500m [Mile,Mile ind.]",Indoor,Distance Medley Relay,04 MAR 2022,9:51.92,"Robert W. Plaster Center, Pittsburg, KS (USA)"
936,Craig LAUTENSLAGER,30 MAR 1993,NZL,962,1500m [Mile],Outdoor,800 Metres,18 MAR 2017,1:52.85,"Fort Worth, TX (USA)"
937,Craig LAUTENSLAGER,30 MAR 1993,NZL,962,1500m [Mile],Outdoor,1500 Metres,26 NOV 2011,3:59.06,Nelson (NZL)
938,Craig LAUTENSLAGER,30 MAR 1993,NZL,962,1500m [Mile],Outdoor,1500 Metres,23 MAR 2013,4:00.96,"Arlington, TX (USA)"
939,Craig LAUTENSLAGER,30 MAR 1993,NZL,962,1500m [Mile],Outdoor,1500 Metres,05 APR 2014,3:52.73,"Tuscaloosa, AL (USA)"
940,Craig LAUTENSLAGER,30 MAR 1993,NZL,962,1500m [Mile],Outdoor,1500 Metres,26 MAR 2015,3:59.13,"Austin, TX (USA)"
941,Craig LAUTENSLAGER,30 MAR 1993,NZL,962,1500m [Mile],Outdoor,1500 Metres,05 MAY 2017,3:46.91,"Fayetteville, AR (USA)"
942,Craig LAUTENSLAGER,30 MAR 1993,NZL,962,1500m [Mile],Outdoor,1500 Metres,11 MAR 2018,3:55.45,Hamilton (NZL)
943,Craig LAUTENSLAGER,30 MAR 1993,NZL,962,1500m [Mile],Outdoor,1500 Metres,01 JUN 2019,3:48.18,"Nashville, TN (USA)"
944,Craig LAUTENSLAGER,30 MAR 1993,NZL,962,1500m [Mile],Outdoor,1500 Metres,06 JUN 2021,3:46.33,"Montgomery Bell Academy, Nashville, TN (USA)"
945,Craig LAUTENSLAGER,30 MAR 1993,NZL,962,1500m [Mile],Outdoor,1500 Metres,06 MAY 2022,3:45.49,"John McDonnell Field, Fayetteville, AR (USA)"
946,Craig LAUTENSLAGER,30 MAR 1993,NZL,962,1500m [Mile],Outdoor,One Mile,17 DEC 2011,4:25.12,Auckland (NZL)
947,Craig LAUTENSLAGER,30 MAR 1993,NZL,962,1500m [Mile],Outdoor,One Mile,02 APR 2016,4:03.24,"Austin, TX (USA)"
948,Craig LAUTENSLAGER,30 MAR 1993,NZL,962,1500m [Mile],Outdoor,One Mile,13 JUL 2019,4:09.79,"Washington, DC (USA)"
949,Craig LAUTENSLAGER,30 MAR 1993,NZL,962,1500m [Mile],Outdoor,One Mile,09 JUL 2021,4:04.68,"Icahn Stadium, New York, NY (USA)"
950,Craig LAUTENSLAGER,30 MAR 1993,NZL,962,1500m [Mile],Outdoor,One Mile,05 JUN 2022,4:10.63,"Vanderbilt Track, Nashville, TN (USA)"
951,Craig LAUTENSLAGER,30 MAR 1993,NZL,962,1500m [Mile],Outdoor,3000 Metres,10 DEC 2011,8:35.47,Melbourne (AUS)
952,Craig LAUTENSLAGER,30 MAR 1993,NZL,962,1500m [Mile],Outdoor,3000 Metres,10 FEB 2018,8:22.61,Hamilton (NZL)
953,Craig LAUTENSLAGER,30 MAR 1993,NZL,962,1500m [Mile],Outdoor,3000 Metres,29 JUL 2022,8:07.67,"Billy J. Murphy Track and Field Complex, Memphis, TN (USA)"
954,Craig LAUTENSLAGER,30 MAR 1993,NZL,962,1500m [Mile],Outdoor,5000 Metres,19 APR 2013,14:40.41,"Walnut, CA (USA)"
955,Craig LAUTENSLAGER,30 MAR 1993,NZL,962,1500m [Mile],Outdoor,5000 Metres,18 APR 2014,14:20.90,"Walnut, CA (USA)"
956,Craig LAUTENSLAGER,30 MAR 1993,NZL,962,1500m [Mile],Outdoor,5000 Metres,17 APR 2015,14:17.74,"Walnut, CA (USA)"
957,Craig LAUTENSLAGER,30 MAR 1993,NZL,962,1500m [Mile],Outdoor,5000 Metres,15 APR 2016,13:52.57,"Walnut, CA (USA)"
958,Craig LAUTENSLAGER,30 MAR 1993,NZL,962,1500m [Mile],Outdoor,5000 Metres,14 APR 2017,13:56.85,"Torrance, CA (USA)"
959,Craig LAUTENSLAGER,30 MAR 1993,NZL,962,1500m [Mile],Outdoor,5000 Metres,17 MAY 2018,14:18.55,"Los Angeles, CA (USA)"
960,Craig LAUTENSLAGER,30 MAR 1993,NZL,962,1500m [Mile],Outdoor,5000 Metres,19 APR 2019,13:44.53,"Torrance, CA (USA)"
961,Craig LAUTENSLAGER,30 MAR 1993,NZL,962,1500m [Mile],Outdoor,5000 Metres,29 MAY 2021,14:13.91,"Griswold Stadium, Portland, OR (USA)"
962,Craig LAUTENSLAGER,30 MAR 1993,NZL,962,1500m [Mile],Outdoor,5000 Metres,02 JUL 2022,14:09.70,"Jack Kemp Stadium, Los Angeles, CA (USA)"
963,Craig LAUTENSLAGER,30 MAR 1993,NZL,962,1500m [Mile],Outdoor,"10,000 Metres",09 MAY 2014,31:16.25,"San Marcos, TX (USA)"
964,Craig LAUTENSLAGER,30 MAR 1993,NZL,962,1500m [Mile],Outdoor,"10,000 Metres",08 MAY 2015,30:27.06,"Mobile, AL (USA)"
965,Craig LAUTENSLAGER,30 MAR 1993,NZL,962,1500m [Mile],Outdoor,"10,000 Metres",28 APR 2016,29:18.13,"Philadelphia, PA (USA)"
966,Craig LAUTENSLAGER,30 MAR 1993,NZL,962,1500m [Mile],Outdoor,"10,000 Metres",31 MAR 2017,29:00.59,"Palo Alto, CA (USA)"
967,Craig LAUTENSLAGER,30 MAR 1993,NZL,962,1500m [Mile],Outdoor,"10,000 Metres",03 MAY 2018,29:05.99,"Palo Alto, CA (USA)"
968,Craig LAUTENSLAGER,30 MAR 1993,NZL,962,1500m [Mile],Outdoor,"10,000 Metres",08 JUN 2019,29:14.81,"Portland, OR (USA)"
969,Craig LAUTENSLAGER,30 MAR 1993,NZL,962,1500m [Mile],Outdoor,"10,000 Metres",17 APR 2021,29:49.84,"Cougar Athletic Stadium, Azusa, CA (USA)"
970,Craig LAUTENSLAGER,30 MAR 1993,NZL,962,1500m [Mile],Outdoor,3000 Metres Steeplechase,28 APR 2022,9:27.30,"UTA Maverick Stadium, Arlington, TX (USA)"
971,Craig LAUTENSLAGER,30 MAR 1993,NZL,962,1500m [Mile],Outdoor,4x1500 Metres Relay,29 MAR 2013,16:14.25,"Austin, TX (USA)"
972,Craig LAUTENSLAGER,30 MAR 1993,NZL,962,1500m [Mile],Indoor,One Mile,02 FEB 2013,4:16.84,"Wichita, KS (USA)"
973,Craig LAUTENSLAGER,30 MAR 1993,NZL,962,1500m [Mile],Indoor,One Mile,15 JAN 2016,4:12.70,"College Station, TX (USA)"
974,Craig LAUTENSLAGER,30 MAR 1993,NZL,962,1500m [Mile],Indoor,One Mile,09 FEB 2017,4:19.63,"Frisco, TX (USA)"
975,Craig LAUTENSLAGER,30 MAR 1993,NZL,962,1500m [Mile],Indoor,3000 Metres,12 JAN 2013,8:37.29,"College Station, TX (USA)"
976,Craig LAUTENSLAGER,30 MAR 1993,NZL,962,1500m [Mile],Indoor,3000 Metres,24 FEB 2014,8:28.73,"Birmingham, AL (USA)"
977,Craig LAUTENSLAGER,30 MAR 1993,NZL,962,1500m [Mile],Indoor,3000 Metres,31 JAN 2015,8:26.87,"Lincoln, NE (USA)"
978,Craig LAUTENSLAGER,30 MAR 1993,NZL,962,1500m [Mile],Indoor,3000 Metres,06 FEB 2016,8:12.34,"College Station, TX (USA)"
979,Craig LAUTENSLAGER,30 MAR 1993,NZL,962,1500m [Mile],Indoor,5000 Metres,22 FEB 2013,15:29.02,"Albuquerque, NM (USA)"
980,Craig LAUTENSLAGER,30 MAR 1993,NZL,962,1500m [Mile],Indoor,5000 Metres,25 FEB 2014,15:00.28,"Birmingham, AL (USA)"
981,Craig LAUTENSLAGER,30 MAR 1993,NZL,962,1500m [Mile],Indoor,5000 Metres,24 FEB 2015,14:51.58,"Birmingham, AL (USA)"
982,Craig LAUTENSLAGER,30 MAR 1993,NZL,962,1500m [Mile],Indoor,5000 Metres,15 JAN 2016,14:41.38,"College Station, TX (USA)"
983,Silas ZAHLTEN,23 SEP 2004,GER,962,1500m [1500m ind.],Outdoor,800 Metres,19 JUN 2021,1:53.98,"Sportanlage am Weinweg, Regensburg (GER)"
984,Silas ZAHLTEN,23 SEP 2004,GER,962,1500m [1500m ind.],Outdoor,1500 Metres,12 JUN 2021,3:54.69,"Stadion Rote Erde, Dortmund (GER)"
985,Silas ZAHLTEN,23 SEP 2004,GER,962,1500m [1500m ind.],Outdoor,1500 Metres,18 JUN 2022,3:48.92,"TSV Stadion, Pfungstadt (GER)"
986,Silas ZAHLTEN,23 SEP 2004,GER,962,1500m [1500m ind.],Outdoor,3000 Metres,16 JUL 2021,8:50.68,"Stadion Hacheney, Dortmund (GER)"
987,Silas ZAHLTEN,23 SEP 2004,GER,962,1500m [1500m ind.],Outdoor,5000 Metres,30 APR 2022,14:53.72,"Jahnstadion, Rheine (GER)"
988,Silas ZAHLTEN,23 SEP 2004,GER,962,1500m [1500m ind.],Outdoor,2000 Metres Steeplechase,15 JUL 2022,5:46.75,"Donaustadion, Ulm (GER)"
989,Silas ZAHLTEN,23 SEP 2004,GER,962,1500m [1500m ind.],Outdoor,2000 Metres Steeplechase (84),01 AUG 2021,6:03.57,"Leichtathletikstadion, Rostock (GER)"
990,Silas ZAHLTEN,23 SEP 2004,GER,962,1500m [1500m ind.],Outdoor,3000 Metres Steeplechase,21 MAY 2022,9:01.97,Karlsruhe (GER)
991,Silas ZAHLTEN,23 SEP 2004,GER,962,1500m [1500m ind.],Indoor,800 Metres,05 FEB 2022,1:55.12,"Leichtathletikhalle im Arena-Sportpark, Düsseldorf (GER)"
992,Silas ZAHLTEN,23 SEP 2004,GER,962,1500m [1500m ind.],Indoor,1500 Metres,30 JAN 2022,3:58.72,"Helmut-Körnig-Halle, Dortmund (GER)"
993,Silas ZAHLTEN,23 SEP 2004,GER,962,1500m [1500m ind.],Indoor,3000 Metres,23 JAN 2022,8:46.90,"Helmut-Körnig-Halle, Dortmund (GER)"
994,Sondre Arne HOFF,28 SEP 1993,NOR,962,1500m [1500m ind.],Outdoor,800 Metres,05 JUL 2019,1:58.75,Oslo (NOR)
995,Sondre Arne HOFF,28 SEP 1993,NOR,962,1500m [1500m ind.],Outdoor,800 Metres,30 JUN 2020,1:55.89,"Bislett Stadion, Oslo (NOR)"
996,Sondre Arne HOFF,28 SEP 1993,NOR,962,1500m [1500m ind.],Outdoor,800 Metres,07 JUL 2021,1:54.90,"Bislett Stadion, Oslo (NOR)"
997,Sondre Arne HOFF,28 SEP 1993,NOR,962,1500m [1500m ind.],Outdoor,800 Metres,11 JUN 2022,1:54.05,"Stadion, Nadderud (NOR)"
998,Sondre Arne HOFF,28 SEP 1993,NOR,962,1500m [1500m ind.],Outdoor,1500 Metres,03 SEP 2020,3:49.94,"Bislett Stadion, Oslo (NOR)"
999,Sondre Arne HOFF,28 SEP 1993,NOR,962,1500m [1500m ind.],Outdoor,1500 Metres,04 JUN 2021,3:51.36,"Bislett Stadion, Oslo (NOR)"
1000,Sondre Arne HOFF,28 SEP 1993,NOR,962,1500m [1500m ind.],Outdoor,1500 Metres,02 JUN 2022,3:49.03,"Friidrettsstadion, Jessheim (NOR)"
1001,Sondre Arne HOFF,28 SEP 1993,NOR,962,1500m [1500m ind.],Outdoor,One Mile,12 AUG 2020,4:07.22,"Arna idrettspark, Bergen (NOR)"
1002,Sondre Arne HOFF,28 SEP 1993,NOR,962,1500m [1500m ind.],Outdoor,3000 Metres,17 JUL 2019,8:49.65,Oslo (NOR)
1003,Sondre Arne HOFF,28 SEP 1993,NOR,962,1500m [1500m ind.],Outdoor,3000 Metres,08 JUL 2020,8:22.91,"Bislett Stadion, Oslo (NOR)"
1004,Sondre Arne HOFF,28 SEP 1993,NOR,962,1500m [1500m ind.],Outdoor,3000 Metres,06 AUG 2021,8:18.45,"Friidrettsstadion, Jessheim (NOR)"
1005,Sondre Arne HOFF,28 SEP 1993,NOR,962,1500m [1500m ind.],Outdoor,3000 Metres,11 JUN 2022,8:22.61,"Fana Stadion, Bergen (NOR)"
1006,Sondre Arne HOFF,28 SEP 1993,NOR,962,1500m [1500m ind.],Outdoor,5000 Metres,21 MAY 2022,14:07.16,"Greveskogen idrettspark, Tønsberg (NOR)"
1007,Sondre Arne HOFF,28 SEP 1993,NOR,962,1500m [1500m ind.],Outdoor,4x1500 Metres Relay,04 JUN 2022,16:04.20,"Ås Stadion, Ås (NOR)"
1008,Sondre Arne HOFF,28 SEP 1993,NOR,962,1500m [1500m ind.],Indoor,600 Metres,16 FEB 2020,1:25.46,"Leikvang Friidrettshall, Bergen (NOR)"
1009,Sondre Arne HOFF,28 SEP 1993,NOR,962,1500m [1500m ind.],Indoor,1500 Metres,15 FEB 2020,4:00.51,"Leikvang Friidrettshall, Bergen (NOR)"
1010,Sondre Arne HOFF,28 SEP 1993,NOR,962,1500m [1500m ind.],Indoor,1500 Metres,05 FEB 2022,3:54.25,"Ulsteinhallen, Ulsteinvik (NOR)"
1011,Sondre Arne HOFF,28 SEP 1993,NOR,962,1500m [1500m ind.],Indoor,3000 Metres,02 FEB 2020,8:43.32,"Bærum Idrettspark, Rud, Bærum (NOR)"
1012,Sondre Arne HOFF,28 SEP 1993,NOR,962,1500m [1500m ind.],Indoor,3000 Metres,06 FEB 2022,8:34.29,"Ulsteinhallen, Ulsteinvik (NOR)"
1013,Alessandro MOROTTI,07 JAN 2004,ITA,962,1500m,Outdoor,800 Metres,02 AUG 2020,2:00.68,"Campo Sportivo M.Castoldi, Villasanta (ITA)"
1014,Alessandro MOROTTI,07 JAN 2004,ITA,962,1500m,Outdoor,800 Metres,11 APR 2021,1:58.97,"Centro Sportivo Baslenga, Casalmaggiore (ITA)"
1015,Alessandro MOROTTI,07 JAN 2004,ITA,962,1500m,Outdoor,800 Metres,30 APR 2022,1:55.86,"Centro Sportivo Comunale, Varese (ITA)"
1016,Alessandro MOROTTI,07 JAN 2004,ITA,962,1500m,Outdoor,1500 Metres,24 SEP 2020,4:08.28,"Campo Comunale, Zogno (ITA)"
1017,Alessandro MOROTTI,07 JAN 2004,ITA,962,1500m,Outdoor,1500 Metres,25 SEP 2021,3:55.00,"Campo Comunale, Brescia (ITA)"
1018,Alessandro MOROTTI,07 JAN 2004,ITA,962,1500m,Outdoor,1500 Metres,16 JUN 2022,3:49.25,"Campo Sportivo Putti, Bergamo (ITA)"
1019,Alessandro MOROTTI,07 JAN 2004,ITA,962,1500m,Outdoor,3000 Metres,18 OCT 2020,8:49.04,"Campo Communale, Modena (ITA)"
1020,Alessandro MOROTTI,07 JAN 2004,ITA,962,1500m,Outdoor,3000 Metres,26 SEP 2021,8:28.80,"Campo Comunale, Brescia (ITA)"
1021,Alessandro MOROTTI,07 JAN 2004,ITA,962,1500m,Outdoor,3000 Metres,13 APR 2022,8:22.32,"Pista Lino Parzani, Rodengo Saiano (ITA)"
1022,Alessandro MOROTTI,07 JAN 2004,ITA,962,1500m,Indoor,1500 Metres,14 FEB 2021,4:05.59,"Palaindoor Ancona, Ancona (ITA)"
1023,Alessandro MOROTTI,07 JAN 2004,ITA,962,1500m,Indoor,1500 Metres,22 JAN 2022,4:00.18,"Palaindoor, Padova (ITA)"
1024,Leandro ALVES,04 AUG 1998,BRA,961,1500m,Outdoor,800 Metres,18 AUG 2018,1:53.32,Maringa (BRA)
1025,Leandro ALVES,04 AUG 1998,BRA,961,1500m,Outdoor,800 Metres,11 DEC 2020,1:47.29,"COTP Stadium, São Paulo (BRA)"
1026,Leandro ALVES,04 AUG 1998,BRA,961,1500m,Outdoor,800 Metres,20 JUN 2021,1:48.51,"CNDA, Bragança Paulista (BRA)"
1027,Leandro ALVES,04 AUG 1998,BRA,961,1500m,Outdoor,800 Metres,24 JUN 2022,1:48.60,Rio de Janeiro (BRA)
1028,Leandro ALVES,04 AUG 1998,BRA,961,1500m,Outdoor,1500 Metres,13 DEC 2020,3:46.53,"COTP Stadium, São Paulo (BRA)"
1029,Leandro ALVES,04 AUG 1998,BRA,961,1500m,Outdoor,1500 Metres,13 JUN 2021,3:55.57,"COTP Stadium, São Paulo (BRA)"
1030,Leandro ALVES,04 AUG 1998,BRA,961,1500m,Outdoor,1500 Metres,25 JUN 2022,3:48.04,Rio de Janeiro (BRA)
1031,Leandro ALVES,04 AUG 1998,BRA,961,1500m,Outdoor,3000 Metres,29 JAN 2022,8:48.00,"CNDA, Bragança Paulista (BRA)"
1032,Leandro ALVES,04 AUG 1998,BRA,961,1500m,Outdoor,4x400 Metres Relay,25 JUN 2022,3:10.81,Rio de Janeiro (BRA)
1033,Leandro ALVES,04 AUG 1998,BRA,961,1500m,Outdoor,4x400 Metres Relay Mixed,12 JUN 2021,3:24.26,"COTP Stadium, São Paulo (BRA)"
1034,Jude WHEELER-DEE,,CAN,961,1500m [1500m ind.],Outdoor,1500 Metres,17 JUN 2022,3:48.48,"Campbell Track, Hamilton (CAN)"
1035,Jude WHEELER-DEE,,CAN,961,1500m [1500m ind.],Outdoor,5000 Metres,10 JUN 2022,14:52.24,"Track and Field Centre Outdoor Track, Toronto (CAN)"
1036,Jude WHEELER-DEE,,CAN,961,1500m [1500m ind.],Indoor,1000 Metres,18 MAR 2022,2:26.62,"Track and Field Centre, Toronto (CAN)"
1037,Jude WHEELER-DEE,,CAN,961,1500m [1500m ind.],Indoor,1500 Metres,19 MAR 2022,3:54.79,"Track and Field Centre, Toronto (CAN)"
1038,Jude WHEELER-DEE,,CAN,961,1500m [1500m ind.],Indoor,3000 Metres,11 FEB 2022,8:56.11,"Track and Field Centre, Toronto (CAN)"
1039,Jude WHEELER-DEE,,CAN,961,1500m [1500m ind.],Indoor,4x800 Metres Relay,11 FEB 2022,8:03.94,"Track and Field Centre, Toronto (CAN)"
1040,Jaime NAVARRO,10 FEB 2001,ESP,961,1500m [1500m ind.],Outdoor,800 Metres,12 MAY 2019,1:59.83,Móstoles (ESP)
1041,Jaime NAVARRO,10 FEB 2001,ESP,961,1500m [1500m ind.],Outdoor,800 Metres,06 JUN 2021,1:54.59,"Estadio Vallehermoso, Madrid (ESP)"
1042,Jaime NAVARRO,10 FEB 2001,ESP,961,1500m [1500m ind.],Outdoor,800 Metres,08 MAY 2022,1:53.39,Móstoles (ESP)
1043,Jaime NAVARRO,10 FEB 2001,ESP,961,1500m [1500m ind.],Outdoor,1500 Metres,30 MAY 2021,3:56.93,"Estadio Vallehermoso, Madrid (ESP)"
1044,Jaime NAVARRO,10 FEB 2001,ESP,961,1500m [1500m ind.],Outdoor,1500 Metres,28 JUN 2022,3:47.56,"Estadio Ciudad de Málaga, Málaga (ESP)"
1045,Jaime NAVARRO,10 FEB 2001,ESP,961,1500m [1500m ind.],Indoor,800 Metres,16 FEB 2020,1:58.09,"Gallur, Madrid (ESP)"
1046,Jaime NAVARRO,10 FEB 2001,ESP,961,1500m [1500m ind.],Indoor,1500 Metres,19 DEC 2021,3:55.83,"Gallur, Madrid (ESP)"
